tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,tweet_length,cleaned_tweet
I'm at the google party. @mention Rocks! #sxsw,Google,Positive emotion,46,im at the google party rocks sxsw
Here's the guy who bought the first #iPad2 at the #SXSW popup store (hope he registers for his Thoora beta!) {link},iPad,Positive emotion,115,heres the guy who bought the first ipad2 at the sxsw popup store hope he registers for his thoora beta link
If you are heading to #sxsw make sure you have the @mention holler gram  {link},,No emotion toward brand or product,79,if you are heading to sxsw make sure you have the holler gram link
"With XWave headsets, we can actually control iPhone apps with our brain!? #SxSWNUI #gsdm #sxsw",iPad or iPhone App,Positive emotion,94,with xwave headsets we can actually control iphone apps with our brain sxswnui gsdm sxsw
"Man, these hipsters are getting crazy at the Google party #SXSW  {link}",Google,Positive emotion,71,man these hipsters are getting crazy at the google party sxsw link
"New update HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product,91,new update hootsuite mobile for sxsw updates for iphone blackberry amp android link
What Apple hopes you didn't notice about iPad 2 {link} #sxsw #sxswi #technology #mobile #prodmktg,iPad,Negative emotion,97,what apple hopes you didnt notice about ipad 2 link sxsw sxswi technology mobile prodmktg
Inevitable huge lines for iPads at Austin Apple store #sxsw {link},,No emotion toward brand or product,66,inevitable huge lines for ipads at austin apple store sxsw link
Looks like I was an hour late for getting an ipad. #SXSW #sadpanda,iPad,No emotion toward brand or product,66,looks like i was an hour late for getting an ipad sxsw sadpanda
"If someone in Austin will let me borrow their iPhone charger for a short time, I will heart you for a long time. #sxsw",,No emotion toward brand or product,118,if someone in austin will let me borrow their iphone charger for a short time i will heart you for a long time sxsw
Sorry some in Austin are taking advantage. ÛÏ@mention @mention we paid $30 to the apple popup from the pepsi standÛ #SXSW #pedicabs,,No emotion toward brand or product,134,sorry some in austin are taking advantage we paid 30 to the apple popup from the pepsi stand sxsw pedicabs
200 people in line at pop up Apple store at #sxsw,,No emotion toward brand or product,49,200 people in line at pop up apple store at sxsw
I would be interested to hear recomds RT @mention recommends using google voice to separate work from life #evolvingworkplace #sxsw,Other Google product or service,Positive emotion,131,i would be interested to hear recomds rt recommends using google voice to separate work from life evolvingworkplace sxsw
And for de Ipad :D?? RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW  {link},,No emotion toward brand or product,117,and for de ipad d rt new ubersocial for iphone now in the app store includes uberguide to sxsw link
Win a free iPad 2 from webdoc.com #sxsw RT,,No emotion toward brand or product,42,win a free ipad 2 from webdoccom sxsw rt
Win a free ipad 2 from webdoc.com #sxsw RT (awesome tech right here),iPad,Positive emotion,68,win a free ipad 2 from webdoccom sxsw rt awesome tech right here
"Inside the iPad 2: chip brings 50% browsing boost: RT @mention Best Hungry at #sxsw Tip: Mekong River, g... {link}",iPad,Positive emotion,114,inside the ipad 2 chip brings 50 browsing boost rt best hungry at sxsw tip mekong river g link
OMG...free iPad 2s in Salon H! One am! #SXSW!,iPad,Positive emotion,45,omgfree ipad 2s in salon h one am sxsw
"Would love ipad2 and to be at #sxsw RT @mention After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2",iPad,Positive emotion,130,would love ipad2 and to be at sxsw rt after you get your food dont forget to snap a photo to win a macbook air ipad 2
"the future is about networks, not just data. that's why google may not win long term #SXSW #web3 #SaatchiNY",Google,Negative emotion,107,the future is about networks not just data thats why google may not win long term sxsw web3 saatchiny
So #google is going to try #socialnetworking again with #googlecircles to be announced today at #sxsw  We shall see...,,No emotion toward brand or product,118,so google is going to try socialnetworking again with googlecircles to be announced today at sxsw we shall see
"Then there is hope I too may someday keynote SWSX! RT @mention Bored during keynote #sxsw, but have an iPad  {link}",iPad,Positive emotion,115,then there is hope i too may someday keynote swsx rt bored during keynote sxsw but have an ipad link
The volume is overwhelming but the market will self-police. That's why users picked Google over Bing.  #curatedebate #SXSW,Google,Positive emotion,122,the volume is overwhelming but the market will selfpolice thats why users picked google over bing curatedebate sxsw
"seems like just about every iphone app has a new update this week, guess its the #SXSW Factor",,No emotion toward brand or product,93,seems like just about every iphone app has a new update this week guess its the sxsw factor
"Did Google just buy Foursquare? &quot;I don't know...that's an interesting question,&quot; said Foursquare CEO Crowley.  ?????????? #sxsw",,No emotion toward brand or product,137,did google just buy foursquare quoti dont knowthats an interesting questionquot said foursquare ceo crowley sxsw
Is #Google launching a new social network today? #SXSW #socialmedia {link},,No emotion toward brand or product,74,is google launching a new social network today sxsw socialmedia link
Why are we leaning on web conventions like small buttons on the iPad? #UXDes #sxsw,iPad,Negative emotion,82,why are we leaning on web conventions like small buttons on the ipad uxdes sxsw
"BTW, these live-tweets are coming from Marissa Mayer's presentation at #SXSW.  Mayer is the VP of Consumer Products at @mention ^JR",,No emotion toward brand or product,131,btw these livetweets are coming from marissa mayers presentation at sxsw mayer is the vp of consumer products at jr
So far the longest line at #sxsw has been at the Apple store.,,No emotion toward brand or product,61,so far the longest line at sxsw has been at the apple store
The Google map app saves my life on a regular basis RT @mention maps has 150 million users. 40% of users are mobile #sxsw,Other Google product or service,Positive emotion,121,the google map app saves my life on a regular basis rt maps has 150 million users 40 of users are mobile sxsw
"Think i've messed up my Mexican IPhone by trying to update software for #sxsw app. Fittingly, the screen is stuck in 911 mode.",,No emotion toward brand or product,126,think ive messed up my mexican iphone by trying to update software for sxsw app fittingly the screen is stuck in 911 mode
"one of the most in-your-face ex. of stealing the show in yrs RT @mention &quot;At #SXSW, Apple schools the mkt experts&quot;  {link}",Apple,Positive emotion,132,one of the most inyourface ex of stealing the show in yrs rt quotat sxsw apple schools the mkt expertsquot link
Get to the nav schemes I am done with the iPad shape lesson #sxsw,,No emotion toward brand or product,65,get to the nav schemes i am done with the ipad shape lesson sxsw
loving the new iphone #app suggestions coming from @mention #SXSW,iPad or iPhone App,Positive emotion,65,loving the new iphone app suggestions coming from sxsw
OMG. Table next to us is passing around the iPad 2. #hipstermuch #SXSW,iPad,Positive emotion,70,omg table next to us is passing around the ipad 2 hipstermuch sxsw
The League of Extraordinary H4ckers presented by @mention Lightning talks on technology. #sxsw (@mention Speakeasy) {link},,No emotion toward brand or product,122,the league of extraordinary h4ckers presented by lightning talks on technology sxsw speakeasy link
"The Future of Google mapped out at #SXSW, Kia recalls 70,000 #Optimas and more Top Advertising News {link}",,No emotion toward brand or product,106,the future of google mapped out at sxsw kia recalls 70000 optimas and more top advertising news link
Z33: Ounce of Prevention {link} [codes valid: 12:00-3:59:59p 03/14/11] #infektd #sxsw #zlf,,No emotion toward brand or product,90,z33 ounce of prevention link codes valid 120035959p 031411 infektd sxsw zlf
"The Future of Reading Online Is Customization &amp; Sharing, Not Tablets {link} #SXSW",,No emotion toward brand or product,85,the future of reading online is customization amp sharing not tablets link sxsw
tim get me one!  RT @mention Apple employees just showed up in force to the #SXSW PopUp Apple Store. #iPad2,iPad,Positive emotion,107,tim get me one rt apple employees just showed up in force to the sxsw popup apple store ipad2
"hehe apple opens a temporary apple retail store in austin, just for the ipad2 launch for all the #sxsw geeks {link}",,No emotion toward brand or product,115,hehe apple opens a temporary apple retail store in austin just for the ipad2 launch for all the sxsw geeks link
Every game or app ad in the #SXSW Interactive guide shows either an iPhone or iPad. AT&amp;T &amp; SXSW's two promos show WP7 &amp; Android.,,No emotion toward brand or product,140,every game or app ad in the sxsw interactive guide shows either an iphone or ipad atampt amp sxsws two promos show wp7 amp android
Buy online or wait in line? RT@mention Apple Sets Up Temporary Store for #SXSW {link},,No emotion toward brand or product,85,buy online or wait in line rt apple sets up temporary store for sxsw link
The Google party line starts behind me. Ha! The Germ has put her towel down early... #sxsw,Google,Positive emotion,90,the google party line starts behind me ha the germ has put her towel down early sxsw
"1/4 of the people in line for the iP*d 2 #SXSW (@mention Apple Store, SXSW) {link}",,No emotion toward brand or product,82,14 of the people in line for the ipd 2 sxsw apple store sxsw link
Looks like pop up Apple store is opening...apple store employees emerging into the queue #sxsw,,No emotion toward brand or product,94,looks like pop up apple store is openingapple store employees emerging into the queue sxsw
WOW! Apple pop up store downtown #Austin projecting 1/4 million+ profits this weekend alone! They may stay past this weekend #SXSW,Apple,Positive emotion,130,wow apple pop up store downtown austin projecting 14 million profits this weekend alone they may stay past this weekend sxsw
OMG. Apple pop-up retail at #sxsw? Please let them have a full palette of iPad2's and a truck parked out back,iPad,Positive emotion,109,omg apple popup retail at sxsw please let them have a full palette of ipad2s and a truck parked out back
Use Google profile or FB as  entry point? FB too personal? Try Digg or Google Reader to draw people in. #hireme #sxsw,Google,Positive emotion,117,use google profile or fb as entry point fb too personal try digg or google reader to draw people in hireme sxsw
#SXSW hire qualified and talented women consciously early on in #startups to achieve success - Google did!,Google,Positive emotion,106,sxsw hire qualified and talented women consciously early on in startups to achieve success google did
Has anyone read or heard anything about Google Circles? #sxsw,,No emotion toward brand or product,61,has anyone read or heard anything about google circles sxsw
if you are ready to take your tech geekdom to a whole new level at #sxsw you will need the Twitter or Google hi-tops {link},,Positive emotion,123,if you are ready to take your tech geekdom to a whole new level at sxsw you will need the twitter or google hitops link
"wow, apple really thought about it and #SXSW - {link}",Apple,Positive emotion,53,wow apple really thought about it and sxsw link
LOL 2 true RT @mention It's official: people using the iPad 2 to take photos just look weird. #SXSW,iPad,Negative emotion,99,lol 2 true rt its official people using the ipad 2 to take photos just look weird sxsw
YES PLEASE RT@mention At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mentionR,iPad,Positive emotion,108,yes please rt at sxsw and want to win an ipad get on the case with and
"Get in the season with Clover Touch:
{link} #Games #STPATRICK",,No emotion toward brand or product,61,get in the season with clover touch link games stpatrick
"#SXSW Come see Bitbop in Austin #gdgtaustin at the PureVolume House
504 Trinity on Monday, March 14th {link}",,No emotion toward brand or product,108,sxsw come see bitbop in austin gdgtaustin at the purevolume house 504 trinity on monday march 14th link
Did anyone see/visit  the temporary Apple Store at #SXSW ?,,Positive emotion,58,did anyone seevisit the temporary apple store at sxsw
Has anyone seen the pop up stores in Austin like CNN restaurant and Apple plus all the food trucks? #sxsw #apple,,No emotion toward brand or product,112,has anyone seen the pop up stores in austin like cnn restaurant and apple plus all the food trucks sxsw apple
"Ah, a nice simple idea. RT @mention Hello, Holler Gram! Get to know @mention new iPad app {link} #hollergram #sxsw",iPad or iPhone App,Positive emotion,114,ah a nice simple idea rt hello holler gram get to know new ipad app link hollergram sxsw
Does apple stay in downtown Austin? I think yes. @mention Apple's popup #SXSW store - Detail belies 2wk lifespan {link},,No emotion toward brand or product,119,does apple stay in downtown austin i think yes apples popup sxsw store detail belies 2wk lifespan link
Trying the Steve Wozniak drink free thanks to Google #H4ckers #SXSW   @mention Speakeasy {link},Google,Positive emotion,95,trying the steve wozniak drink free thanks to google h4ckers sxsw speakeasy link
Temp Apple Store 6th St  Austin #sxsw closed for night &quot;they're out of stuff' says Austin cops barring the door!,,No emotion toward brand or product,117,temp apple store 6th st austin sxsw closed for night quottheyre out of stuff says austin cops barring the door
Temp Apple store in Austin has quite a few #iPAD2 left... #SXSW,,No emotion toward brand or product,63,temp apple store in austin has quite a few ipad2 left sxsw
Temp Apple store is killing it in Austin. Selling out early EVERY day. #sxsw,Apple,Positive emotion,76,temp apple store is killing it in austin selling out early every day sxsw
The #apple store popped up at #sxsw with a huge crowd waiting for the geek dreams to come true.  {link},Apple,Positive emotion,103,the apple store popped up at sxsw with a huge crowd waiting for the geek dreams to come true link
"Temp Apple store set up in downtown #Austin. via ÛÏ@mention Before It Even Begins, Apple Wins #SXSW {link} dtph.comÛ",,No emotion toward brand or product,119,temp apple store set up in downtown austin via before it even begins apple wins sxsw link dtphcom
#sxsw live stream not working on iPad #fail {link},iPad,Negative emotion,50,sxsw live stream not working on ipad fail link
SXSW Apple Survival Kit - IÛªm taking more apple stuff with me to #sxsw than I am clothes {link},Apple,Positive emotion,97,sxsw apple survival kit im taking more apple stuff with me to sxsw than i am clothes link
Hmm... the sxsw.com/interactive/live stream isn't ipad/mobile compatible. Maybe next year. #sxsw,iPad,Negative emotion,96,hmm the sxswcominteractivelive stream isnt ipadmobile compatible maybe next year sxsw
Let's make that a temp-to-hire position RT @mention Apple to open temporary store for #SXSW at 6th and Congress {link},,No emotion toward brand or product,118,lets make that a temptohire position rt apple to open temporary store for sxsw at 6th and congress link
"Used to be that only the small upstarts (Twitter) played at SXSW. Not the big guys making moves: Apple, Google. #sxsw",,No emotion toward brand or product,117,used to be that only the small upstarts twitter played at sxsw not the big guys making moves apple google sxsw
Third time the charm?&gt;&gt;&gt; #Google to launch new social network at #SXSW? - CNET News {link},Google,Positive emotion,99,third time the charmgtgtgt google to launch new social network at sxsw cnet news link
Yay!  Love the iPad 2!  Perfectly portable for all of the travel we've been doing!  Thanks #sxsw pop-up store!,iPad,Positive emotion,110,yay love the ipad 2 perfectly portable for all of the travel weve been doing thanks sxsw popup store
Looks like the line for the Apple pop-up store on Congress Ave is already down to the end of the block..  #SXSW #SteveJobsWins,,I can't tell,126,looks like the line for the apple popup store on congress ave is already down to the end of the block sxsw stevejobswins
C43: Quite the Specimen {link} [codes valid: 8:00-11:59:59a 03/15/11] #infektd #sxsw #cvdc,,No emotion toward brand or product,90,c43 quite the specimen link codes valid 800115959a 031511 infektd sxsw cvdc
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @mention via @mention =&gt;{link},Other Google product or service,Positive emotion,123,gotta love this sxsw google calendar featuring top parties show cases to check out rt via gtlink
Looks like this was a fun session at #SXSW: &quot;Mistakes Made Building Nextflix for iPhone&quot;: {link},iPad or iPhone App,Positive emotion,106,looks like this was a fun session at sxsw quotmistakes made building nextflix for iphonequot link
Front Gate Tickets Present The Morning After Party 3/18 https://sites.google.com/site/frontgatesxsw11/ #SXSW Music,,No emotion toward brand or product,114,front gate tickets present the morning after party 318 sxsw music
"I may have to hide all #SXSW tweets. I think the Apple pop-up store was the final straw. Yes, I'm jealous.",Apple,Positive emotion,106,i may have to hide all sxsw tweets i think the apple popup store was the final straw yes im jealous
Would like to know which LBS app I downloaded has commandeered my iPhone's geolocation setting &amp; won't relinquish. #batterykiller #SXSW,iPad or iPhone App,Negative emotion,139,would like to know which lbs app i downloaded has commandeered my iphones geolocation setting amp wont relinquish batterykiller sxsw
Good place to test it. Will it be edgy enough? @mention Q2 - Google's check in offers? Testing at #sxsw {link} #smccolumbus,,I can't tell,123,good place to test it will it be edgy enough q2 googles check in offers testing at sxsw link smccolumbus
"#SXSW come to the #privacybootcamp for startups with @mention @mention Google, Facebook in ACC 9ABC. Starting now. #sxswi",,No emotion toward brand or product,121,sxsw come to the privacybootcamp for startups with google facebook in acc 9abc starting now sxswi
Brains are to zombies like content is to google - @mention quoted by @mention #contentrules #sxsw,,No emotion toward brand or product,97,brains are to zombies like content is to google quoted by contentrules sxsw
Brains are to zombies like content is to Google - &quot;Content Rules&quot; @mention #SXSW,,No emotion toward brand or product,90,brains are to zombies like content is to google quotcontent rulesquot sxsw
The Google Tv to IPad App: the connected tv experience talk was super rad! #sxsw #sxsw11,iPad or iPhone App,Positive emotion,88,the google tv to ipad app the connected tv experience talk was super rad sxsw sxsw11
every time u hold yur ipad 2 up in the air to snap a pic it reminds me of a priest holding up a bible. except designed in california. #sxsw,,No emotion toward brand or product,139,every time u hold yur ipad 2 up in the air to snap a pic it reminds me of a priest holding up a bible except designed in california sxsw
Great! See u there  RT @mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW,iPad or iPhone App,Positive emotion,133,great see u there rt ill be at the austin convention center today w my fam showing my new iphone game sxsw
"Foursquare ups the game, just in time for #SXSW {link} - Still prefer @mention by far, best looking Android app to date.",Android App,Positive emotion,120,foursquare ups the game just in time for sxsw link still prefer by far best looking android app to date
All iphone users kill yo self if u hated on ubertwitter New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW,iPad or iPhone App,Positive emotion,132,all iphone users kill yo self if u hated on ubertwitter new ubersocial for iphone now in the app store includes uberguide to sxsw
Are iPhone users really this clueless about the Android OS / UI? Or does this presentation seem basic for everyone else too? #sxsw,,No emotion toward brand or product,130,are iphone users really this clueless about the android os ui or does this presentation seem basic for everyone else too sxsw
"Hey iPhone users: if you have both Instagram and Hipstamatic, which do you enjoy using more? #SXSW week is sure making things interesting.",,No emotion toward brand or product,138,hey iphone users if you have both instagram and hipstamatic which do you enjoy using more sxsw week is sure making things interesting
Attn: dude using new iPad as a camera in the middle of an overcrowded #sxsw presentation. You rock. #fail,iPad,No emotion toward brand or product,105,attn dude using new ipad as a camera in the middle of an overcrowded sxsw presentation you rock fail
"The iPhone version of Flipboard is being totally redesigned for that platform, @mention says #sxsw",,No emotion toward brand or product,98,the iphone version of flipboard is being totally redesigned for that platform says sxsw
Loving the video of Google Geo geeks skiing at  Lake Tahoe.  #marissagoogle #SXSW,,No emotion toward brand or product,81,loving the video of google geo geeks skiing at lake tahoe marissagoogle sxsw
I love the waves!!!!!! {link} iPad Webber #japan #sxsw,,Positive emotion,54,i love the waves link ipad webber japan sxsw
N14: There will be Blood {link} [codes valid: 4:00-7:59:59p 03/12/11] #infektd #sxsw #necro,,No emotion toward brand or product,91,n14 there will be blood link codes valid 40075959p 031211 infektd sxsw necro
Just spoke with google about how they are using semantic tech to make searching user reviews better #sxsw #cmswire #web30,Google,Positive emotion,121,just spoke with google about how they are using semantic tech to make searching user reviews better sxsw cmswire web30
traded the Xoom I won at the JS party for the iPad 2 @mention won #sxsw #winwin #winning #tigerblood,iPad,Positive emotion,100,traded the xoom i won at the js party for the ipad 2 won sxsw winwin winning tigerblood
Looks like you may be able to fork over the cash for a new #ipad2 at ##sxsw {link},,No emotion toward brand or product,82,looks like you may be able to fork over the cash for a new ipad2 at sxsw link
Doing an e-mail interview with @mention who is in Japan with just an iPhone. This week has been nothing if not surprising. #SXSW,,No emotion toward brand or product,128,doing an email interview with who is in japan with just an iphone this week has been nothing if not surprising sxsw
"Mr. Google, @mention : Do you recommend submitting to article banks as an SEO strategy? {link} (I'm not a big fan.) #sxsw",,No emotion toward brand or product,121,mr google do you recommend submitting to article banks as an seo strategy link im not a big fan sxsw
"Dear Apple, could you roll a hot dog cart full of iPad 2's down to the Austin Convention center. (And bring hot dogs?) #sxsw",iPad,Positive emotion,124,dear apple could you roll a hot dog cart full of ipad 2s down to the austin convention center and bring hot dogs sxsw
"So strange, mixed tweets of #ipad spammers, #sxsw, and regular life together w/Pacific Rim rocking near nuclear disaster. Does not compute",,No emotion toward brand or product,138,so strange mixed tweets of ipad spammers sxsw and regular life together wpacific rim rocking near nuclear disaster does not compute
"[On iPhone, mute tags, people, conversationsÛ_] &quot;so does @mention for those on mobile #SXSW #notatSXSW &quot; [RT @mention",,No emotion toward brand or product,128,on iphone mute tags people conversations quotso does for those on mobile sxsw notatsxsw quot rt
"New iPhone, new iPad 2, and they come running as fast as they can, cuz every girl crazy about a sharp Mac man... *strums guitar*  #SXSW",iPhone,Positive emotion,135,new iphone new ipad 2 and they come running as fast as they can cuz every girl crazy about a sharp mac man strums guitar sxsw
pdparticle: @mention Who said you won't be able to get the iPad 2 at #SXSW? Apple is opening a pop-up store i... {link},,No emotion toward brand or product,119,pdparticle who said you wont be able to get the ipad 2 at sxsw apple is opening a popup store i link
Now online: First iPad 2 in the Wild at #SXSW {link},,No emotion toward brand or product,52,now online first ipad 2 in the wild at sxsw link
"Cover time! #sxsw (@mention Apple Store, SXSW w/ 9 others) {link}",,Positive emotion,65,cover time sxsw apple store sxsw w 9 others link
Hey People! Down here at #sxsw and we are about to launch @mention  Follow for all the details and a chance for a free iPad 2 !,iPad,Positive emotion,127,hey people down here at sxsw and we are about to launch follow for all the details and a chance for a free ipad 2
so awesome! RT @mention knitted staircase in attendance at #sxsw party tomo 7pm hosted by @mention &amp; @mention {link},,No emotion toward brand or product,120,so awesome rt knitted staircase in attendance at sxsw party tomo 7pm hosted by amp link
I want one!! It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},iPad,Positive emotion,126,i want one its not a rumor apple is opening up a temporary store in downtown austin for sxsw and the ipad 2 launch link
"Oh, #Apple... you are ridiculous: Before It Even Begins, Apple WinsåÊ#SXSW {link} via @mention",Apple,Positive emotion,94,oh apple you are ridiculous before it even begins apple winssxsw link via
"Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link}",,No emotion toward brand or product,89,yes theres a line in front of the allbutconfirmed popup apple store at sxsw link
"Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link} /via @mention",,No emotion toward brand or product,103,yes theres a line in front of the allbutconfirmed popup apple store at sxsw link via
it's apple's decision though to not partake in the discussion and be open / dev friendly #browserwars #sxsw /cc @mention,,No emotion toward brand or product,120,its apples decision though to not partake in the discussion and be open dev friendly browserwars sxsw cc
Hope there's time left for Poked Liked and retweeted and Google love story (social vs search). #sxsw,,I can't tell,100,hope theres time left for poked liked and retweeted and google love story social vs search sxsw
"FoursquareÛªs Extra Special: A Revamped, Fully Automated Merchant Platform {link} #DennisCrowley #iPhone #SXSW",,No emotion toward brand or product,111,foursquares extra special a revamped fully automated merchant platform link denniscrowley iphone sxsw
Genius idea RT @mention Apple Popup Store at #SXSW {link},Apple,Positive emotion,57,genius idea rt apple popup store at sxsw link
Had no idea that @mention quietly launched its Hotpot review product last fall #outoftheloop #sxsw.  Look into it.,,No emotion toward brand or product,114,had no idea that quietly launched its hotpot review product last fall outoftheloop sxsw look into it
Update: heading to the apple store so I can buy an iPad. #sxsw,iPad,Positive emotion,62,update heading to the apple store so i can buy an ipad sxsw
"C'mon already - @mention to Launch Major New Social Network Called Circles, Possibly Today by @mention {link} via @mention #SxSW",,No emotion toward brand or product,128,cmon already to launch major new social network called circles possibly today by link via sxsw
Getting ready for &quot;iPad design headaches&quot; #sxsw,iPad,Negative emotion,57,getting ready for quotipad design headachesquot sxsw
Getting ready for #sxsw by installing @mention on my iPhone. Woot! {link},iPad or iPhone App,Positive emotion,73,getting ready for sxsw by installing on my iphone woot link
"Getting ready for a session on Designing iPad Interfaces by Lynn Teo. Ballroom A, Austin Convention Center. #sxsw",,No emotion toward brand or product,113,getting ready for a session on designing ipad interfaces by lynn teo ballroom a austin convention center sxsw
Getting ready for Designing iPad Interfaces #SXSW (@mention ACC - Ballroom A w/ 39 others) [pic]: {link},,No emotion toward brand or product,104,getting ready for designing ipad interfaces sxsw acc ballroom a w 39 others pic link
Getting ready for my iPad 2 vs Android panel at #SXSW come check it out at 230!,,No emotion toward brand or product,79,getting ready for my ipad 2 vs android panel at sxsw come check it out at 230
"Getting ready for Your Mom Has An IPad: Designing For Boomers.
{link} #SXSW",,No emotion toward brand or product,75,getting ready for your mom has an ipad designing for boomers link sxsw
"#sxsw already paying dividends, discovered a couple of cool apps for iPhone and Android.",iPad or iPhone App,Positive emotion,88,sxsw already paying dividends discovered a couple of cool apps for iphone and android
#AAPL already the big winner at #sxsw {link} #in,,No emotion toward brand or product,48,aapl already the big winner at sxsw link in
Getting ready to hear about the @mention road map from VP Product Marissa Mayer.  Pls tell me you're going to focus on search.... #SXSW,,No emotion toward brand or product,135,getting ready to hear about the road map from vp product marissa mayer pls tell me youre going to focus on search sxsw
#google real time location data as a layer on google earth gives breathtaking visual data #SxSW,Other Google product or service,Positive emotion,95,google real time location data as a layer on google earth gives breathtaking visual data sxsw
I never realized how shitty by iphone battery was until #sxsw I'm charging every few hours,iPhone,Negative emotion,90,i never realized how shitty by iphone battery was until sxsw im charging every few hours
"...This really puts the whole #iPad release, and #sxsw in perspective, doesn't it?",,No emotion toward brand or product,82,this really puts the whole ipad release and sxsw in perspective doesnt it
I am so jealous of @mention because she's at #SxSW that I am not sending her tweets to my iPhone until it's over. #bitter,,No emotion toward brand or product,121,i am so jealous of because shes at sxsw that i am not sending her tweets to my iphone until its over bitter
"#Apple steals the show (again), with pop-up #marketing at #SXSW--&gt; {link}",Apple,Positive emotion,76,apple steals the show again with popup marketing at sxswgt link
I can stream #SXSW  on my iPad on SXSW Go,,No emotion toward brand or product,41,i can stream sxsw on my ipad on sxsw go
Met the team that set up the #sxsw Apple store - set up whole place from nothing in 3 days. Great work!,Apple,Positive emotion,103,met the team that set up the sxsw apple store set up whole place from nothing in 3 days great work
Nice to hear that mint.com is working on an iPad app! #FTW #SXSWi #SXSW,iPad or iPhone App,Positive emotion,71,nice to hear that mintcom is working on an ipad app ftw sxswi sxsw
Enjoyed learning about @mention experimentation product strategy fr @mention #sxtxstate #sxsw {link},,No emotion toward brand or product,100,enjoyed learning about experimentation product strategy fr sxtxstate sxsw link
So it appears Apple is opening a pop up store in Austin for #sxsw - the employees were trying to hide it. The Beechwood tables gave it away.,Apple,Positive emotion,140,so it appears apple is opening a pop up store in austin for sxsw the employees were trying to hide it the beechwood tables gave it away
Several years too late? I think the trend of social apps is over... @mention  #sxsw #google #circles #conversation @mention,iPad or iPhone App,Negative emotion,123,several years too late i think the trend of social apps is over sxsw google circles conversation
itune released free #SXSW featured music! download them today {link},,No emotion toward brand or product,68,itune released free sxsw featured music download them today link
Another reason to go to Austin: #Apple to open a #SXSW popup store {link},Apple,Positive emotion,73,another reason to go to austin apple to open a sxsw popup store link
What a great blog on the latest news of #SXSW ... like the opening of an #Apple store? {link} #sxsw2011 @mention,Apple,Positive emotion,112,what a great blog on the latest news of sxsw like the opening of an apple store link sxsw2011
That's great! RT @mention I'm unique at #SXSW because I'm the only one w/ an iPhone 3GS. All the others followers have the iPhone 4. #winning,iPhone,Positive emotion,141,thats great rt im unique at sxsw because im the only one w an iphone 3gs all the others followers have the iphone 4 winning
#SxSW Giveaway! Free QR codes for your business cards and convention badges! Get them at booth #1315 by @mention {link},,No emotion toward brand or product,119,sxsw giveaway free qr codes for your business cards and convention badges get them at booth 1315 by link
&quot;Facebook and Google are our biggest competitors.&quot; Said #4sq's Crowley #sxsw #eurosxsw,Google,Positive emotion,96,quotfacebook and google are our biggest competitorsquot said 4sqs crowley sxsw eurosxsw
Update #Recco! {link} Which #SXSW panels/parties are def good times? Follow friends who've been there b4 if you're a newbie.,,No emotion toward brand or product,124,update recco link which sxsw panelsparties are def good times follow friends whove been there b4 if youre a newbie
Today's Tech Tidbit: The iPad 2 Takes Over SXSW [VIDEO] {link} via @mention @mention #ipad2 #sxsw #tech,iPad,Positive emotion,103,todays tech tidbit the ipad 2 takes over sxsw video link via ipad2 sxsw tech
"@mention Echofon for iPhone &amp; Mac now both have ÛÏmuteÛ functions, where you can block #sxsw &amp; #sxswi. IÛªm about to do it. CanÛªt wait.",iPad or iPhone App,Positive emotion,149,echofon for iphone amp mac now both have mute functions where you can block sxsw amp sxswi im about to do it cant wait
Help me decide which panel to go to next: Future of Social Photography or Google Doodles: Burning Man to Pac-Man and Beyond. #sxsw,,No emotion toward brand or product,130,help me decide which panel to go to next future of social photography or google doodles burning man to pacman and beyond sxsw
why the heck doesn't google maps use browser geo-location? am I missing it somehow? using chrome. @mention #sxsw #startupbus,Other Google product or service,Negative emotion,124,why the heck doesnt google maps use browser geolocation am i missing it somehow using chrome sxsw startupbus
Off to check out the not-so-secret popup Apple store for tomorrow's iPad2 release in Austin. Somebody RE w/ the address... #sxsw,,No emotion toward brand or product,128,off to check out the notsosecret popup apple store for tomorrows ipad2 release in austin somebody re w the address sxsw
Why the heck would anyone want Mozilla to switch to CrapKit (WebKit) when Gecko is good? Stupid Apple/Google bandwaggoners. #sxsw,Apple,Negative emotion,129,why the heck would anyone want mozilla to switch to crapkit webkit when gecko is good stupid applegoogle bandwaggoners sxsw
woah. expect Google Circles today at #sxsw during Google's League of Extraordinary Hackers events today. big!,Other Google product or service,Positive emotion,109,woah expect google circles today at sxsw during googles league of extraordinary hackers events today big
